Player,Date,RowIndex,Average Left Force,Average Right Force,Max Left Force,Max Right Force
Player 1,22/11/2019,10,394,415,405,423
Player 10,7/12/2020,6,414,398.6,438,426.5
Player 10,15/12/2020,4,340.65,331.2,392.5,382
Player 10,18/01/2021,2,497.8125,462.25,507.75,481.25
Player 10,3/02/2021,0,466.25,439.0625,473.75,485.75
Player 10,3/02/2021,2,458.9375,437.3125,471,474.25
Player 10,8/02/2021,4,455.125,456,505,494.5
Player 10,8/02/2021,2,422.5,445.75,436.75,451.75
Player 10,20/02/2021,4,405.6875,401.6875,422,413.5
Player 10,22/02/2021,2,413.625,443.6875,422.25,473.5
Player 10,2/03/2021,0,398.375,426.1875,417.75,444.75
Player 11,11/01/2020,0,374.9375,365.3125,399,398
Player 11,17/01/2020,0,397.25,364.0625,403.75,379
Player 11,2/03/2020,2,327,349.75,358.75,384.5
Player 11,24/01/2020,2,332.375,342.1875,365,366
Player 12,11/01/2020,0,320.4167,280.75,329.25,284
Player 12,11/01/2020,2,288.6667,305.6667,303.5,320
Player 12,11/01/2020,4,283.75,289.3333,297.75,297.75
Player 12,16/06/2020,0,328.05,305.95,385,349.75
Player 12,16/06/2020,4,270.375,264.5,349,342.5
Player 12,16/06/2020,2,301.0417,299.4167,387.5,379.25
Player 12,17/01/2020,0,368.0625,346.9375,382.75,353.25
Player 12,17/01/2020,4,341.9375,358.4375,355.75,367
Player 12,17/01/2020,2,354.25,350.125,389.5,363.25
Player 12,18/02/2020,0,383,354.4375,391,380.25
Player 12,2/03/2020,0,337.75,289.875,355,318.5
Player 12,24/01/2020,0,371.5625,364.4375,386.5,368
Player 12,24/01/2020,4,362.0625,376.1875,373.25,384.5
Player 12,24/01/2020,2,373.1875,373.25,391,378
Player 12,29/05/2020,0,348.8125,348.3125,365,373
Player 12,29/05/2020,2,300.5625,304.875,305.25,312.75
Player 12,31/01/2020,0,354.8125,312.375,362.75,324.25
Player 12,7/02/2020,2,407.0625,343.875,425,352.25
Player 12,8/06/2020,2,374.1875,352.1875,379.75,367.25
Player 12,8/06/2020,4,298.3125,309.5,315.25,326.5
Player 13,10/08/2020,0,530.5,531.1667,571.25,599.5
Player 13,10/08/2020,2,535,585.9167,584.75,655.25
Player 13,11/01/2020,0,478.75,523.75,504.75,529.25
Player 13,11/02/2020,0,443.375,539.625,467.5,562.5
Player 13,16/06/2020,0,491,469.3125,519.5,494.75
Player 13,16/06/2020,4,388,436.35,461.75,541.5
Player 13,18/01/2021,0,461.125,458.6875,589,565
Player 13,18/02/2020,0,413.875,437.875,441.25,457.5
Player 13,2/09/2020,2,535.8333,536.3333,540,554
Player 13,29/11/2019,0,510,555,522,580
Player 13,3/02/2021,0,403.0417,405.7083,531.25,533.25
Player 13,7/02/2020,0,441.625,510.8125,515,537.75
Player 13,8/02/2021,0,511,525.25,536,549.5
Player 13,8/06/2020,0,462.125,500.875,495.25,538
Player 14,24/01/2020,2,318.25,397.6875,348,402.75
Player 14,29/11/2019,0,378,431,398,434
Player 15,11/01/2020,4,307.35,320.8,398,424.25
Player 15,11/01/2020,0,407.875,417.625,419,460
Player 15,13/06/2020,0,292.8333,287.0417,430,408.25
Player 15,17/01/2020,6,384.875,410.375,394.75,437.75
Player 15,17/01/2020,4,449.0625,428.6875,463.25,468
Player 15,17/01/2020,0,364.2917,365.5417,485.25,502
Player 15,21/03/2020,0,321.2917,332.25,426.75,423.5
Player 15,24/01/2020,2,282.1,336.7,346,392.5
Player 15,24/01/2020,0,306,342.3125,362,383.5
Player 15,29/11/2019,0,430,427,443,455
Player 15,29/11/2019,6,403,408,416,417
Player 15,29/11/2019,8,434,459,447,478
Player 15,31/01/2020,4,275.4583,294.0417,358.75,371
Player 15,8/11/2019,0,440,427,462,449
Player 16,10/03/2021,4,343.3,372.65,474,514.5
Player 16,10/03/2021,0,350.7,362.65,485.5,508.25
Player 16,10/03/2021,2,367.5,386.55,506.25,536.75
Player 16,10/09/2020,2,319.6429,344,453.25,477.75
Player 16,10/09/2020,4,310.9688,340.9375,471,508
Player 16,11/01/2020,0,217.4167,271.3333,235.5,288
Player 16,11/01/2020,2,176.625,225.25,186.5,249.5
Player 16,11/02/2020,0,333.5,362.3125,374.75,405
Player 16,14/07/2020,2,373.6,384.7,427.5,444
Player 16,14/07/2020,4,309.5,325.4583,400.75,417.25
Player 16,14/07/2020,0,392.3125,427.4375,418.75,444.5
Player 16,15/03/2021,2,345.4643,381.4643,468,539
Player 16,15/03/2021,4,352.35,380.4,475.5,500
Player 16,15/03/2021,0,390.3,387.4,453.5,456
Player 16,15/08/2020,2,348.1667,341.4583,446.5,436.25
Player 16,15/08/2020,0,323.4286,342.8214,430.5,464.75
Player 16,16/06/2020,4,361.5,377.9,415.5,446
Player 16,16/06/2020,0,360.4,388.35,419,470
Player 16,16/06/2020,2,339.0714,363.1786,420,451.75
Player 16,16/09/2020,2,345.9583,348.7083,454.25,442
Player 16,16/09/2020,0,380.25,395.15,463.75,504.75
Player 16,17/01/2020,4,262,314,270.25,348
Player 16,17/01/2020,0,274.875,356.625,282.5,362.75
