Date,fromDate,toDate,bedtime,waketime,inBed,awake,fellAsleepIn,sessions,asleep,asleepAvg7,efficiency,efficiencyAvg7,quality,qualityAvg7,deep,deepAvg7,sleepBPM,sleepBPMAvg7,dayBPM,dayBPMAvg7,wakingBPM,wakingBPMAvg7,hrv,hrvAvg7
2021-01-12T20:59:59+11:00,"Monday, 11 Jan 2021","Tuesday, 12 Jan 2021",11/01/2021 21:11,12/01/2021 5:00,7:49:00,0:00:00,0:00:00,1,7:49:00,8:33:34,100,99.7,5:26:03,6:20:38,0:45:23,1:27:12,54.1,55.1,77.3,72.5,53,53.9,60,87
2021-01-13T20:59:59+11:00,"Tuesday, 12 Jan 2021","Wednesday, 13 Jan 2021",12/01/2021 21:13,13/01/2021 6:01,8:48:00,0:00:00,0:00:00,1,8:48:00,8:29:08,100,99.7,6:18:57,6:14:10,1:30:31,1:18:02,56,55.5,69.1,72.8,55,54.1,67,81
2021-01-14T20:59:59+11:00,"Wednesday, 13 Jan 2021","Thursday, 14 Jan 2021",13/01/2021 21:15,14/01/2021 5:01,7:46:00,0:00:00,0:00:00,1,7:46:00,8:28:42,100,99.7,5:39:50,6:09:31,1:30:12,1:22:16,54.5,55.3,74.8,73.2,53,53.9,76,83
2021-01-15T20:59:59+11:00,"Thursday, 14 Jan 2021","Friday, 15 Jan 2021",14/01/2021 21:15,15/01/2021 6:01,8:46:00,0:00:00,0:00:00,1,8:46:00,8:28:42,100,99.7,6:15:59,6:09:21,1:00:07,1:20:07,54.5,54.9,70.8,73.5,53,53.4,71,85
2021-01-16T20:59:59+11:00,"Friday, 15 Jan 2021","Saturday, 16 Jan 2021",15/01/2021 21:07,16/01/2021 5:41,8:34:00,0:11:00,0:00:00,1,8:23:00,8:26:08,97.9,99.4,6:09:50,6:07:52,1:31:27,1:17:52,57.4,55.5,73.7,74.2,56,53.6,88,80
2021-01-17T20:59:59+11:00,"Saturday, 16 Jan 2021","Sunday, 17 Jan 2021",16/01/2021 22:30,17/01/2021 7:21,8:51:00,0:10:00,0:00:00,1,8:41:00,8:25:17,98.1,99.4,6:23:36,6:05:35,0:30:39,1:09:20,61.6,56.7,83.4,74.5,57,54.4,80,78
2021-01-18T20:59:59+11:00,"Sunday, 17 Jan 2021","Monday, 18 Jan 2021",17/01/2021 21:45,18/01/2021 5:41,7:56:00,0:00:00,0:00:00,1,7:56:00,8:18:25,100,99.4,6:18:54,6:04:44,2:02:50,1:15:52,58.9,56.7,73.1,74.6,53,54.3,115,80
2021-01-19T20:59:59+11:00,"Monday, 18 Jan 2021","Tuesday, 19 Jan 2021",18/01/2021 21:17,19/01/2021 6:05,8:48:00,0:00:00,0:00:00,1,8:48:00,8:26:51,100,99.4,6:20:52,6:12:34,1:45:36,1:24:28,55.8,57,71.8,73.8,55,54.6,73,81
2021-01-20T20:59:59+11:00,"Tuesday, 19 Jan 2021","Wednesday, 20 Jan 2021",19/01/2021 21:30,20/01/2021 5:45,8:15:00,0:00:00,0:00:00,1,8:15:00,8:22:08,100,99.4,5:40:48,6:07:07,0:45:00,1:17:58,55.8,56.9,71.6,74.2,55,54.6,71,82
2021-01-21T20:59:59+11:00,"Wednesday, 20 Jan 2021","Thursday, 21 Jan 2021",20/01/2021 21:45,21/01/2021 5:50,8:05:00,0:15:00,0:00:00,1,7:50:00,8:22:42,96.9,99,6:29:25,6:14:12,1:46:08,1:20:15,57.2,57.3,74.2,74.1,55,54.9,80,83
2021-01-22T20:59:59+11:00,"Thursday, 21 Jan 2021","Friday, 22 Jan 2021",21/01/2021 21:17,22/01/2021 6:07,8:50:00,0:00:00,0:00:00,1,8:50:00,8:23:17,100,99,6:23:36,6:15:17,1:30:51,1:24:38,54.2,57.3,,,57,55.4,71,83
2021-01-24T20:59:59+11:00,"Saturday, 23 Jan 2021","Sunday, 24 Jan 2021",23/01/2021 21:45,24/01/2021 8:34,10:49:00,0:00:00,0:00:00,1,10:49:00,8:44:08,100,99.3,8:15:30,6:33:15,2:00:45,1:28:49,57.7,57.3,72.6,74.8,58,55.7,144,91
2021-01-25T20:59:59+11:00,"Sunday, 24 Jan 2021","Monday, 25 Jan 2021",24/01/2021 21:45,25/01/2021 6:41,8:56:00,0:00:00,0:00:00,1,8:56:00,8:46:17,100,99.6,6:40:33,6:35:40,1:47:12,1:39:46,57,56.7,77.8,74,52,55,57,87
2021-01-26T20:59:59+11:00,"Monday, 25 Jan 2021","Tuesday, 26 Jan 2021",25/01/2021 22:00,26/01/2021 6:31,8:31:00,0:04:00,0:00:00,1,8:27:00,8:50:42,99.2,99.4,6:13:55,6:34:57,1:32:11,1:35:23,58.2,56.6,82.2,75.3,56,55.4,61,80
2021-01-27T20:59:59+11:00,"Tuesday, 26 Jan 2021","Wednesday, 27 Jan 2021",26/01/2021 22:15,27/01/2021 7:11,8:56:00,0:00:00,0:00:00,1,8:56:00,8:51:51,100,99.4,6:40:42,6:37:47,1:47:12,1:35:37,57.8,56.8,79.9,76.4,54,55.3,82,81
2021-01-28T20:59:59+11:00,"Wednesday, 27 Jan 2021","Thursday, 28 Jan 2021",27/01/2021 21:37,28/01/2021 6:51,9:14:00,0:00:00,0:00:00,1,9:14:00,9:00:17,100,99.4,6:51:38,6:47:54,1:16:57,1:40:10,57.3,57.1,76.8,77.2,58,55.7,35,76
2021-01-29T20:59:59+11:00,"Thursday, 28 Jan 2021","Friday, 29 Jan 2021",28/01/2021 22:00,29/01/2021 7:11,9:11:00,0:15:00,0:00:00,1,8:56:00,9:09:42,97.3,99.5,6:30:02,6:47:59,1:31:53,1:38:08,57,57,79.2,77.9,60,56.4,71,75
