"athlete_name","activity_name","period_name","total_duration","meterage_per_minute","hirmin","acceleration_density","date","start_time_h","end_time_h"
"Elijah Hollands","210609Wed","Craft",8.61983333333333,59.99638,1.93855256288791,0.31638645372107,"09/06/2021","11:30:48","11:39:25"
"Elijah Hollands","210609Wed","Get to the Face",2.61166666666667,113.46909,20.8296107211232,0.669133056796426,"09/06/2021","10:20:08","10:22:45"
"Elijah Hollands","210609Wed","Goal Kicking",5.18416666666667,55.56054,0,0.290667995499116,"09/06/2021","11:05:01","11:10:12"
"Elijah Hollands","210609Wed","Lines",13.1766666666667,96.96455,17.1082721983304,0.350233493549203,"09/06/2021","10:23:45","10:36:55"
"Elijah Hollands","210609Wed","Match Simulation",12.006,146.38224,60.270698817258,0.408432797490144,"09/06/2021","11:14:45","11:26:45"
"Elijah Hollands","210609Wed","Proactive Grids",6.07066666666667,154.48176,42.6328794201625,0.490215627059082,"09/06/2021","10:42:40","10:48:44"
"Elijah Hollands","210609Wed","Proactive Grids",5.64866666666667,156.28922,51.128881742004,0.465721497698572,"09/06/2021","10:57:07","11:02:46"
"Elijah Hollands","210609Wed","Tackle Technique",5.21766666666667,55.21704,0,0.370040886730978,"09/06/2021","10:50:33","10:55:46"
"Elijah Hollands","210609Wed","Warm Up",16.8053333333333,97.42431,14.4067359568391,0.347376398365598,"09/06/2021","10:01:02","10:17:51"
"Hugh Greenwood","210609Wed","Craft",8.61983333333333,52.41276,0.498849552388871,0.306736885863996,"09/06/2021","11:30:48","11:39:25"
"Hugh Greenwood","210609Wed","Craft",20.3733333333333,75.00352,8.82428010471204,0.408400736256544,"09/06/2021","10:42:40","11:03:02"
"Hugh Greenwood","210609Wed","Get to the Face",2.61166666666667,110.26637,28.0280791320996,0.703197255902999,"09/06/2021","10:20:08","10:22:45"
"Hugh Greenwood","210609Wed","Goal Kicking",5.18416666666667,103.32517,22.0941970744253,0.397217103359588,"09/06/2021","11:05:01","11:10:12"
"Hugh Greenwood","210609Wed","Lines",13.1766666666667,88.04195,16.9466228181128,0.340705780419934,"09/06/2021","10:23:45","10:36:55"
"Hugh Greenwood","210609Wed","Match Simulation",9.0265,121.76845,35.064533318562,0.497317287985376,"09/06/2021","11:14:45","11:26:45"
"Hugh Greenwood","210609Wed","Warm Up",16.8053333333333,92.13051,14.4906378927325,0.322169856791495,"09/06/2021","10:01:02","10:17:51"
"Ben King","210609Wed","Craft",8.61983333333333,58.93465,0,0.250080589338541,"09/06/2021","11:30:48","11:39:25"
"Ben King","210609Wed","Get to the Face",2.61166666666667,100.34479,21.189534141672,0.62204677728143,"09/06/2021","10:20:08","10:22:45"
"Ben King","210609Wed","Goal Kicking",5.18416666666667,51.87639,0,0.256416878315383,"09/06/2021","11:05:01","11:10:12"
"Ben King","210609Wed","Lines",13.1766666666667,73.48928,12.1646850493296,0.331993410068303,"09/06/2021","10:23:45","10:36:55"
"Ben King","210609Wed","Match Simulation",12.006,102.67561,25.3656496751624,0.409117968793381,"09/06/2021","11:14:45","11:26:45"
"Ben King","210609Wed","Proactive Grids",5.64866666666667,87.39848,9.2163342381683,0.333855895196507,"09/06/2021","10:57:07","11:02:46"
"Ben King","210609Wed","Proactive Grids",5.89116666666667,104.15748,18.7976348770759,0.527316321045633,"09/06/2021","10:49:53","10:55:46"
"Ben King","210609Wed","Tackle Technique",5.40216666666667,72.85401,0,0.295109307993706,"09/06/2021","10:43:11","10:48:35"
"Ben King","210609Wed","Warm Up",16.8053333333333,91.94522,14.2032291336084,0.290180468502063,"09/06/2021","10:01:02","10:17:51"
"Aiden Fyfe","210609Wed","Craft",8.61983333333333,43.62656,0,0.24678255573387,"09/06/2021","11:30:48","11:39:25"
"Aiden Fyfe","210609Wed","Get to the Face",2.61166666666667,93.90333,23.8966177409062,0.56499910657307,"09/06/2021","10:20:08","10:22:45"
"Aiden Fyfe","210609Wed","Goal Kicking",5.18416666666667,42.41304,0,0.296480405079569,"09/06/2021","11:05:01","11:10:12"
"Aiden Fyfe","210609Wed","Lines",13.1766666666667,93.34269,14.0597014925373,0.449255881608905,"09/06/2021","10:23:45","10:36:55"
"Aiden Fyfe","210609Wed","Match Simulation",12.006,93.45003,23.8838922205564,0.392730773502138,"09/06/2021","11:14:45","11:26:45"
"Aiden Fyfe","210609Wed","Proactive Grids",6.07066666666667,125.43066,33.4197232593894,0.533468372501647,"09/06/2021","10:42:40","10:48:44"
"Aiden Fyfe","210609Wed","Proactive Grids",5.64866666666667,136.48947,23.8923639797002,0.552294435264959,"09/06/2021","10:57:07","11:02:46"
"Aiden Fyfe","210609Wed","Tackle Technique",5.21766666666667,49.1934,0.47914137864946,0.433028780425477,"09/06/2021","10:50:33","10:55:46"
"Aiden Fyfe","210609Wed","Warm Up",16.8053333333333,95.03655,17.8127969295462,0.325520023405268,"09/06/2021","10:01:02","10:17:51"
"Chris Burgess","210609Wed","Craft",8.61983333333333,55.38746,2.18449699336801,0.338383224733657,"09/06/2021","11:30:48","11:39:25"
"Chris Burgess","210609Wed","Get to the Face",2.61166666666667,115.34152,50.8640714741544,0.623583790682834,"09/06/2021","10:20:08","10:22:45"
"Chris Burgess","210609Wed","Goal Kicking",5.18416666666667,81.22068,0,0.273293457643466,"09/06/2021","11:05:01","11:10:12"
"Chris Burgess","210609Wed","Lines",13.1766666666667,94.19447,14.270680495826,0.371404882367822,"09/06/2021","10:23:45","10:36:55"
"Chris Burgess","210609Wed","Match Simulation",12.006,132.48139,51.1194411127769,0.419398731189961,"09/06/2021","11:14:45","11:26:45"
"Chris Burgess","210609Wed","Proactive Grids",5.64866666666667,118.61886,38.3577245367638,0.441547326802785,"09/06/2021","10:57:07","11:02:46"
"Chris Burgess","210609Wed","Proactive Grids",5.89116666666667,106.71738,22.2061278184853,0.454880923416414,"09/06/2021","10:49:53","10:55:46"
"Chris Burgess","210609Wed","Tackle Technique",5.40216666666667,66.81858,2.47308178817141,0.470443464042205,"09/06/2021","10:43:11","10:48:35"
"Chris Burgess","210609Wed","Warm Up",16.8053333333333,94.10103,14.032450015868,0.291555280069819,"09/06/2021","10:01:02","10:17:51"
"Patrick Murtagh","210609Wed","Craft",8.61983333333333,49.81369,0,0.249722693787583,"09/06/2021","11:30:48","11:39:25"
"Patrick Murtagh","210609Wed","Get to the Face",2.61166666666667,100.0051,22.4071474154435,0.583421250797703,"09/06/2021","10:20:08","10:22:45"
"Patrick Murtagh","210609Wed","Goal Kicking",5.18416666666667,39.13143,0,0.202792991480469,"09/06/2021","11:05:01","11:10:12"
"Patrick Murtagh","210609Wed","Lines",13.1766666666667,87.06012,18.7353908423982,0.349164533265874,"09/06/2021","10:23:45","10:36:55"
